scenario,environment,environment_index,strategy,description,probability_of_detection,probability_of_false_alarm,sensitivity,average_intercept_rate,average_reward,average_cost,average_continuous_reward,percentage_of_correct_predictions,average_intercept_time_error,average_intercept_time_error_us,average_time_to_intercept,average_time_to_intercept_censored,average_time_to_intercept_us,scan_efficiency,coverage,active_band_coverage,average_dwell_time,total_reward,n_timesteps,n_bands,emission_opportunities,observed_active_cells,intercepts,observed_idle_cells,false_alarms,visits,settling_timesteps,predictions,correct_predictions,bands_ever_active,bands_intercepted,n_intercept_time_predictions
spatial_scan,config_136:spatial_scan,4,sequential,Open-loop sequential sweep (baseline),0.029500964984835953,0.011067193675889328,0.9570661896243292,0.17319520880543865,0.07607640012949174,-0.1585280025898349,0.1585280025898349,,43.20666666666666,86413.33333333333,85.22222222222223,85.22222222222223,170444.44444444447,0.17319520880543865,1.0,1.0,1.9993527508090614,235.0,3089.0,32.0,18135.0,559.0,535.0,2530.0,28.0,3089.0,0.0,0.0,0.0,9.0,9.0,300.0
spatial_scan,config_136:spatial_scan,4,random,Uniform random band selection,0.02795698924731183,0.010958904109589041,0.949438202247191,0.1641307866623503,0.06265781806409841,-0.14945937196503725,0.14945937196503725,,71.63486842105263,143269.73684210525,70.11111111111111,70.11111111111111,140222.22222222222,0.1641307866623503,1.0,1.0,1.9993527508090614,193.54999999999998,3089.0,32.0,18135.0,534.0,507.0,2555.0,28.0,3089.0,0.0,0.0,0.0,9.0,9.0,304.0
spatial_scan,config_136:spatial_scan,4,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.055472842569616765,0.011280039234919078,0.9580952380952381,0.3256717384266753,0.24800906442214307,-0.31183198446099064,0.31183198446099064,93.46278317152104,30.91166380789022,61823.32761578044,89.44444444444444,89.44444444444444,178888.88888888888,0.3256717384266753,1.0,1.0,1.9993527508090614,766.0999999999999,3089.0,32.0,18135.0,1050.0,1006.0,2039.0,23.0,3089.0,0.0,1545.0,1444.0,9.0,9.0,583.0
spatial_scan,config_136:spatial_scan,4,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.05922249793217535,0.011253196930946292,0.9470899470899471,0.3476853350598899,0.27288766591129815,-0.33404726448688904,0.33404726448688904,94.5631067961165,23.7782131661442,47556.4263322884,68.55555555555556,68.55555555555556,137111.11111111112,0.3476853350598899,1.0,1.0,1.9993527508090614,842.95,3089.0,32.0,18135.0,1134.0,1074.0,1955.0,22.0,3089.0,0.0,1545.0,1461.0,9.0,9.0,638.0
spatial_scan,config_136:spatial_scan,4,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.05922249793217535,0.011253196930946292,0.9470899470899471,0.3476853350598899,0.27288766591129815,-0.33404726448688904,0.33404726448688904,94.5631067961165,23.7782131661442,47556.4263322884,68.55555555555556,68.55555555555556,137111.11111111112,0.3476853350598899,1.0,1.0,1.9993527508090614,842.95,3089.0,32.0,18135.0,1134.0,1074.0,1955.0,22.0,3089.0,0.0,1545.0,1461.0,9.0,9.0,638.0
spatial_scan,config_5:spatial_scan,5,sequential,Open-loop sequential sweep (baseline),0.03057703747769185,0.010083549409392106,0.9716446124763705,0.1285,0.023174999999999998,-0.11408075,0.11408075,,32.01764705882353,64035.294117647056,392.0,392.0,784000.0,0.1285,1.0,1.0,2.0,92.69999999999999,4000.0,32.0,16810.0,529.0,514.0,3471.0,35.0,4000.0,0.0,0.0,0.0,7.0,7.0,255.0
spatial_scan,config_5:spatial_scan,5,random,Uniform random band selection,0.027305175490779297,0.009088327179778472,0.9582463465553236,0.11475,0.0043249999999999955,-0.10066225,0.10066225,,60.585903083700444,121171.8061674009,170.66666666666666,433.2857142857143,341333.3333333333,0.11475,1.0,0.8571428571428571,2.0,17.299999999999983,4000.0,32.0,16810.0,479.0,459.0,3521.0,32.0,4000.0,0.0,0.0,0.0,7.0,6.0,227.0
spatial_scan,config_5:spatial_scan,5,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.05698988697204045,0.010684474123539232,0.9532338308457712,0.2395,0.147725,-0.22546450000000004,0.22546450000000004,97.8,15.283838383838384,30567.67676767677,51.166666666666664,330.85714285714283,102333.33333333333,0.2395,1.0,0.8571428571428571,2.0,590.9,4000.0,32.0,16810.0,1005.0,958.0,2995.0,32.0,4000.0,0.0,2000.0,1956.0,7.0,6.0,495.0
spatial_scan,config_5:spatial_scan,5,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.06032123735871505,0.011541072640868975,0.9620493358633776,0.2535,0.16346249999999998,-0.23922425000000003,0.23922425000000003,96.45,14.297687861271676,28595.37572254335,43.166666666666664,324.0,86333.33333333333,0.2535,0.9375,0.8571428571428571,2.0,653.8499999999999,4000.0,32.0,16810.0,1054.0,1014.0,2946.0,34.0,4000.0,0.0,2000.0,1929.0,7.0,6.0,519.0
spatial_scan,config_5:spatial_scan,5,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.06032123735871505,0.011541072640868975,0.9620493358633776,0.2535,0.16346249999999998,-0.23922425000000003,0.23922425000000003,96.45,14.297687861271676,28595.37572254335,43.166666666666664,324.0,86333.33333333333,0.2535,0.9375,0.8571428571428571,2.0,653.8499999999999,4000.0,32.0,16810.0,1054.0,1014.0,2946.0,34.0,4000.0,0.0,2000.0,1929.0,7.0,6.0,519.0
